timestamp;Equipamento;Tipo;Modelo;HEF;HTI;HAO;HOE;HOI;HTD;HMC;HAC;MPS;MPNS;Manutenção Corretiva;Manutenção Preventiva;Manutenção Total;Horas Trabalhadas;Horas Calendario;Producao;DF;UF;RO;Produtividade;Nº Corretivas;Nº Preventivas;Nº Manutenção;MTBF;MTTR;MTBS;MTTS
fev/22;TE2959;Trator (Esteira);Caterpillar D11R;0;443,4;0;0;60,1;4,3;15,2;0;29;0;15,2;29;44,2;447,7;552;;92,00%;88,20%;81,1;;5;2;7;89,5;3;64;8,8
fev/22;TE2960;Trator (Esteira);Caterpillar D11R;7,3;447,1;0;0;50,6;0;15,2;0;31,7;0;15,2;31,7;46,9;454,4;552;;91,50%;90,00%;82,3;;8;2;10;56,8;1,9;45,4;5,9
fev/22;TE2961;Trator (Esteira);Caterpillar D11R;0;459,7;0;1,5;82,8;0,2;5,7;0;2,1;0;5,7;2,1;7,8;459,9;552;;98,60%;84,50%;83,3;;2;1;3;229,9;2,9;153,3;3,9
fev/22;TE2963;Trator (Esteira);Caterpillar D11R;16;416,7;0;0;79,1;0;3,6;0;36,5;0;3,6;36,5;40,1;432,7;552;;92,70%;84,50%;78,4;;3;2;5;144,2;1,2;86,5;13,4
fev/22;TE2964;Trator (Esteira);Caterpillar D11R;0;509,8;0;0;38,2;0;3,4;0;0,6;0;3,4;0,6;4;509,8;552;;99,30%;93,00%;92,4;;3;1;4;169,9;1,1;127,5;1,3
jan/22;PT3114;Patrol;Patrol 24M;0;126,7;0;0,9;23,4;0;40,7;0;0,3;0;40,7;0,3;41;126,7;192;;78,60%;83,90%;66;;6;1;7;21,1;6,8;18,1;6,8
jan/22;PT3116;Patrol;Patrol 24M;0;81,5;0;0;27;0;37,1;0;38,8;7,6;37,1;46,4;83,5;81,5;192;;56,50%;75,10%;42,4;;4;2;6;20,4;9,3;13,6;20,9
jan/22;PT3117;Patrol;Patrol 24M;0;104,8;0;0;26,1;0;61,2;0;0;0;61,2;0;61,2;104,8;192;;68,10%;80,10%;54,6;;7;0;7;15;8,7;15;8,7
jan/22;PT3118;Patrol;Patrol 24M;0;0;0;0;0;0;0;0;192;0;0;192;192;0;192;;0,00%;0,00%;0;;0;1;1;0;0;0;0
jan/22;PT3119;Patrol;Patrol 24M;0;131,4;0;0;19,8;0;40,9;0;0;0;40,9;0;40,9;131,4;192;;78,70%;86,90%;68,4;;6;0;6;21,9;6,8;21,9;6,8
jan/22;PT3120;Patrol;Patrol 24M;0;131,7;0;0;17,9;0;36,2;0;0,8;5,5;36,2;6,3;42,4;131,7;192;;77,90%;88,00%;68,6;;5;3;8;26,3;7,2;16,5;8,5
jan/22;PT3121;Patrol;Patrol 24M;0;116,2;0;0;32,6;0;25,7;0;17,6;0;25,7;17,6;43,2;116,2;192;;77,50%;78,10%;60,5;;6;3;9;19,4;4,3;12,9;7,2
jan/22;PT3123;Patrol;Patrol 24M;0;71,3;0;0;15,4;0;60,3;0;41,4;3,5;60,3;44,9;105,3;71,3;192;;45,20%;82,20%;37,1;;4;2;6;17,8;15,1;11,9;26,3
jan/22;PT3124;Patrol;Patrol 24M;0;89,3;0;0;45,4;35,8;17,3;0;1,1;3,1;17,3;4,2;21,5;125,1;192;;88,80%;73,40%;65,1;;7;2;9;17,9;2,5;13,9;3,1
jan/22;PT3125;Patrol;Patrol 24M;0;73,7;0;0;23,7;0;57;0;0;37,6;57;37,6;94,6;73,7;192;;50,70%;75,70%;38,4;;9;1;10;8,2;6,3;7,4;10,5
jan/22;PT3126;Patrol;Patrol 24M;0;106,1;0;0,8;21,8;1,3;32,6;0;29,4;0;32,6;29,4;62;107,4;192;;67,70%;82,60%;56;;6;1;7;17,9;5,4;15,3;10,3
jan/22;PT3127;Patrol;Patrol 24M;0;145,1;0;0,6;22,2;0,1;22,9;0;1;0;22,9;1;24;145,3;192;;87,50%;86,40%;75,7;;8;1;9;18,2;2,9;16,1;3
jan/22;PT3128;Patrol;Patrol 24M;0;146;0;0;16,7;0;19,9;0;1;8,4;19,9;9,3;29,2;146;192;;84,80%;89,70%;76,1;;3;2;5;48,7;6,6;29,2;9,7
jan/22;PT3129;Patrol;Patrol 24M;0;163,3;0;0;16,7;0;11,3;0;0;0,7;11,3;0,7;12;163,3;192;;93,70%;90,70%;85;;4;1;5;40,8;2,8;32,7;3
jan/22;PT3130;Patrol;Patrol 24M;0;130,4;0;0;40,2;0;21,3;0;0;0;21,3;0;21,3;130,4;192;;88,90%;76,40%;67,9;;11;0;11;11,9;1,9;11,9;1,9
jan/22;PT3131;Patrol;Patrol 24M;0;146,3;0;0;21,9;0;23,8;0;0;0;23,8;0;23,8;146,3;192;;87,60%;87,00%;76,2;;4;0;4;36,6;5,9;36,6;5,9
